epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0117,1.31904,1.96225,1.20265,0.64158,0.7279,0.73017,0.43678,1.3262,1.15509,1.29527,0.0004125,0.0004125,0.0004125
2,36.555,1.19152,0.97231,1.16695,0.72221,0.76112,0.84249,0.54247,1.23311,1.11126,1.23283,0.000788123,0.000788123,0.000788123
3,54.924,1.18337,0.9009,1.16852,0.58098,0.73729,0.65366,0.42595,1.3004,1.38474,1.28502,0.0011225,0.0011225,0.0011225
4,72.9166,1.14299,0.84003,1.15374,0.69663,0.77521,0.72971,0.48568,1.27972,1.11683,1.25113,0.00106437,0.00106437,0.00106437
5,90.6673,1.10531,0.74277,1.1214,0.55938,0.81695,0.77299,0.49985,1.27616,1.33574,1.26599,0.0010025,0.0010025,0.0010025
6,108.504,1.06755,0.70133,1.10601,0.7256,0.78027,0.77867,0.52118,1.19561,1.06243,1.2162,0.000940625,0.000940625,0.000940625
7,126.354,1.01931,0.65299,1.08786,0.60619,0.7725,0.75223,0.45932,1.37569,1.61397,1.37276,0.00087875,0.00087875,0.00087875
8,144.185,1.01134,0.62418,1.08173,0.69879,0.75781,0.82223,0.54767,1.22514,1.20313,1.23814,0.000816875,0.000816875,0.000816875
9,162.683,1.01634,0.6046,1.07647,0.62705,0.78779,0.77454,0.49891,1.2991,1.515,1.28329,0.000755,0.000755,0.000755
10,180.517,0.96893,0.58349,1.0567,0.58412,0.70146,0.6971,0.46201,1.22018,1.57986,1.23785,0.000693125,0.000693125,0.000693125
11,199.19,0.93415,0.52551,1.10125,0.71728,0.74869,0.77071,0.50286,1.27414,1.02212,1.26173,0.00063125,0.00063125,0.00063125
12,217.025,0.91113,0.50292,1.08899,0.66145,0.8125,0.78162,0.50914,1.23889,1.14756,1.2382,0.000569375,0.000569375,0.000569375
13,234.836,0.90026,0.49006,1.08194,0.66301,0.8,0.78021,0.52312,1.24338,1.22591,1.25913,0.0005075,0.0005075,0.0005075
14,252.634,0.87533,0.46292,1.05461,0.74961,0.72273,0.79471,0.53172,1.24061,1.12264,1.25034,0.000445625,0.000445625,0.000445625
15,270.416,0.84553,0.43949,1.03771,0.6531,0.77161,0.77463,0.52519,1.26417,1.19009,1.25207,0.00038375,0.00038375,0.00038375
16,288.331,0.84506,0.43676,1.0443,0.7011,0.79486,0.79233,0.53989,1.21643,1.14362,1.2248,0.000321875,0.000321875,0.000321875
17,306.17,0.82184,0.42255,1.03313,0.69338,0.76525,0.75675,0.52256,1.21897,1.1767,1.24991,0.00026,0.00026,0.00026
18,323.996,0.80106,0.39829,1.0068,0.69274,0.7725,0.80553,0.54578,1.2195,1.18582,1.24348,0.000198125,0.000198125,0.000198125
19,341.811,0.78818,0.39032,1.01764,0.73934,0.75363,0.80685,0.55337,1.20502,1.09244,1.23109,0.00013625,0.00013625,0.00013625
20,360.275,0.77095,0.37699,1.00502,0.73092,0.76303,0.80676,0.54946,1.22725,1.13843,1.24857,7.4375e-05,7.4375e-05,7.4375e-05
