epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.2716,1.42377,2.33685,1.41922,0.46315,0.78198,0.6438,0.40317,1.22651,1.95106,1.30272,0.000544553,0.000544553,0.000544553
2,18.9629,1.21362,1.02047,1.24605,0.72022,0.78,0.83897,0.54897,1.17194,1.05456,1.27883,0.00104576,0.00104576,0.00104576
3,28.8524,1.19305,0.9297,1.22847,0.67414,0.785,0.79202,0.50082,1.25585,1.37529,1.31664,0.00149195,0.00149195,0.00149195
4,38.1443,1.14928,0.87487,1.18107,0.6171,0.79953,0.86479,0.54295,1.28814,1.64572,1.35628,0.00141945,0.00141945,0.00141945
5,47.5048,1.0909,0.82174,1.17539,0.59592,0.81,0.74694,0.50123,1.23973,1.21624,1.33606,0.00133693,0.00133693,0.00133693
6,56.7448,1.08023,0.75172,1.15772,0.48358,0.75212,0.57435,0.32008,1.4066,1.53849,1.49853,0.00125442,0.00125442,0.00125442
7,65.95,1.05275,0.72019,1.14813,0.62286,0.77612,0.80362,0.52383,1.25058,1.25334,1.38333,0.0011719,0.0011719,0.0011719
8,75.161,1.01425,0.68199,1.1235,0.55453,0.82108,0.76109,0.5382,1.12874,1.33808,1.22817,0.00108938,0.00108938,0.00108938
9,84.3931,0.97734,0.64944,1.09643,0.58603,0.815,0.78995,0.54902,1.15291,1.17063,1.24968,0.00100687,0.00100687,0.00100687
10,94.2872,0.99206,0.62705,1.11659,0.62151,0.81148,0.79001,0.54255,1.19897,1.2975,1.31974,0.000924352,0.000924352,0.000924352
11,104.188,0.93162,0.54823,1.1252,0.6648,0.71705,0.73294,0.47822,1.21929,1.58229,1.30315,0.000841835,0.000841835,0.000841835
12,113.42,0.89523,0.5232,1.1043,0.60272,0.79171,0.7898,0.50669,1.26468,1.32794,1.3654,0.000759318,0.000759318,0.000759318
13,122.633,0.89553,0.51849,1.08834,0.62794,0.75576,0.81162,0.54324,1.25471,1.43096,1.35223,0.000676802,0.000676802,0.000676802
14,131.913,0.84642,0.51007,1.08308,0.65768,0.85,0.85682,0.57882,1.19798,1.08078,1.30969,0.000594286,0.000594286,0.000594286
15,141.741,0.84124,0.48094,1.08788,0.67692,0.755,0.83569,0.57559,1.17906,1.30689,1.28877,0.000511769,0.000511769,0.000511769
16,150.998,0.81235,0.44815,1.06586,0.66332,0.605,0.78056,0.5303,1.29082,2.22022,1.45388,0.000429253,0.000429253,0.000429253
17,160.229,0.80354,0.45284,1.04841,0.64416,0.73,0.77768,0.53311,1.18828,1.51337,1.34828,0.000346736,0.000346736,0.000346736
18,169.483,0.77905,0.42193,1.0402,0.64441,0.72966,0.84392,0.5868,1.18399,1.49798,1.31931,0.00026422,0.00026422,0.00026422
19,179.361,0.75841,0.41238,1.04042,0.66509,0.76274,0.81337,0.56905,1.13752,1.26264,1.27495,0.000181703,0.000181703,0.000181703
20,188.615,0.75412,0.40807,1.03608,0.68162,0.79405,0.83135,0.59573,1.10553,1.28012,1.25747,9.91865e-05,9.91865e-05,9.91865e-05
